"Taxa","PC1","PC2","PC3"
630,0.0444481292769657,-0.013022350207553,0.0324678885542016
9540,0.0449184759351663,-0.0241285562313491,-0.0433623426310217
9404,0.0109693880373816,-0.0139533107571643,0.0555072213914272
7026,0.055447960466578,-0.0127459547607081,0.0345282666390051
9749,0.0262691262104412,0.033016875827951,0.017614141673386
9953,-0.157521144141007,0.280147772993176,0.00576537970906215
9928,0.0634695917816919,-0.00632098574913147,0.0250373577235884
9696,0.00848097686778044,0.0169369876784366,0.0232787466289518
9629,-0.155740285286871,0.274595344823223,0.0170655037840718
9642,-0.158827272684759,0.285906592154142,-0.00554913567522331
9982,0.0554618267246028,0.00663031944412081,0.00805571579798386
7102,0.0488352663487305,0.00698116121437088,0.0353558453593323
5856,-0.251847735400895,-0.183624782618161,0.0437411942682657
9821,0.0458996739381358,-0.0333150009747237,-0.0292052432697604
9747,0.0259988833979105,0.0222973587898628,0.0234625516685296
7103,0.0211608476457346,0.0228149179731678,0.0393898357581611
9381,-0.0426575251897369,-0.0498984684652638,0.0181699989610252
6099,0.0140770656349864,-0.0220693934252724,0.0382376409237352
9845,0.0356797490413438,-0.0453536491953023,-0.106921391992055
8326,0.0123958541025733,0.00643321337968572,0.0425062654693832
9873,0.0538032463557675,1.75126794332728e-06,-0.04244171640104
6961,0.0493989785089301,-0.0181732814751591,-0.0215321237692572
9057,0.0172216320156009,-0.00346641584200257,0.0514865122591214
6150,0.0218429207636256,-0.0219057673275577,0.0611866545917185
9799,0.0556663189739286,0.0125918141755312,0.0371455941278817
8243,0.06459465707838,0.00208456979076521,0.0296756170955082
6104,0.0130579597496831,-0.0369270558396297,0.0615905266650323
9631,-0.157851495651352,0.280130913397654,-0.00138066680642321
9729,0.0181748528601813,0.0289200742479949,0.0378746347167682
9825,0.0355567556580222,-0.0408648306424713,-0.124789636071735
9353,-0.00838155531478444,0.00781496549860956,0.03528767486989
4900,0.0733135466787589,-0.0247026570962316,0.0353107326954725
6046,-0.169647894890321,-0.13029427596585,0.0303613565218724
9339,0.00328835854707908,0.00887821028888414,0.0366116150840988
1254,-0.09373679235416,-0.0859779378747583,0.0247983773821561
5741,0.0396852484566071,-0.0254143661935212,0.0339641911038198
350,0.0695048946163338,-0.00269420922871172,0.0282624899240225
6933,0.0524422679687813,-0.0230115010708648,-0.0206430918892427
7384,0.0263442659882582,-0.0207917803126084,0.0321903859174071
9917,0.0694033902145803,-0.0113452058624152,0.0257789655648902
9991,0.0397714641818728,0.0156940008181283,-0.0152677249269406
9948,0.0211392511458151,-0.0399334383497232,-0.127977940590571
6221,-0.261090428790876,-0.189359787256773,0.0695558215281343
9388,-0.249023931367122,-0.179432611205616,0.0679454174143088
7268,0.0356485613537271,0.00905288606597972,0.0436138810858464
